Month,Group,Keyword,SearchIndex
2017-11,Kculture,k-culture,10.0
2017-12,Kculture,k-culture,0.0
2018-01,Kculture,k-culture,0.0
2018-02,Kculture,k-culture,0.0
2018-03,Kculture,k-culture,0.0
2018-04,Kculture,k-culture,0.0
2018-05,Kculture,k-culture,0.0
2018-06,Kculture,k-culture,0.0
2018-07,Kculture,k-culture,0.0
2018-08,Kculture,k-culture,0.0
2018-09,Kculture,k-culture,0.0
2018-10,Kculture,k-culture,0.0
2018-11,Kculture,k-culture,0.0
2018-12,Kculture,k-culture,0.0
2019-01,Kculture,k-culture,0.0
2019-02,Kculture,k-culture,0.0
2019-03,Kculture,k-culture,0.0
2019-04,Kculture,k-culture,0.0
2019-05,Kculture,k-culture,0.0
2019-06,Kculture,k-culture,0.0
2019-07,Kculture,k-culture,0.0
2019-08,Kculture,k-culture,0.0
2019-09,Kculture,k-culture,11.0
2019-10,Kculture,k-culture,0.0
2019-11,Kculture,k-culture,0.0
2019-12,Kculture,k-culture,0.0
2020-01,Kculture,k-culture,0.0
2020-02,Kculture,k-culture,0.0
2020-03,Kculture,k-culture,0.0
2020-04,Kculture,k-culture,0.0
2020-05,Kculture,k-culture,0.0
2020-06,Kculture,k-culture,7.0
2020-07,Kculture,k-culture,10.0
2020-08,Kculture,k-culture,8.0
2020-09,Kculture,k-culture,0.0
2020-10,Kculture,k-culture,15.0
2020-11,Kculture,k-culture,12.0
2020-12,Kculture,k-culture,0.0
2021-01,Kculture,k-culture,0.0
2021-02,Kculture,k-culture,0.0
2021-03,Kculture,k-culture,0.0
2021-04,Kculture,k-culture,0.0
2021-05,Kculture,k-culture,0.0
2021-06,Kculture,k-culture,0.0
2021-07,Kculture,k-culture,0.0
2021-08,Kculture,k-culture,0.0
2021-09,Kculture,k-culture,0.0
2021-10,Kculture,k-culture,0.0
